candidate_id,rank,score,reasoning
CAND_0052682,1,63.4,"6.6 years of relevant experience. Strong skills in faiss, python, embeddings. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0081846,2,61.58,"6.7 years of relevant experience. Strong skills in python, embeddings, qdrant. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0027691,3,60.73,"6.5 years of relevant experience. Strong skills in weaviate, embeddings, python. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0086022,4,60.06,"5.3 years of relevant experience. Strong skills in pinecone, embeddings. High GitHub activity. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0055905,5,59.39,"8.1 years of relevant experience. Strong skills in python, embeddings. Excellent recruiter response rate. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0052328,6,59.16,6.5 years of relevant experience. Strong skills in python. High GitHub activity. Strong interview completion record. LinkedIn connected. Open to work.
CAND_0028793,7,58.93,7.2 years of relevant experience. Strong skills in embeddings. High GitHub activity. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0070398,8,58.81,"7.2 years of relevant experience. Strong skills in rag, faiss, embeddings. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0011162,9,58.75,"5.8 years of relevant experience. Strong skills in faiss, pinecone, python. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0071974,10,58.65,"7.8 years of relevant experience. Strong skills in weaviate, pinecone, qdrant. High GitHub activity. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0070525,11,58.52,"5.4 years of relevant experience. Strong skills in python, embeddings. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0079387,12,58.44,6.9 years of relevant experience. Strong skills in python. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0018499,13,58.36,"7.2 years of relevant experience. Strong skills in weaviate, pinecone, rag. High GitHub activity. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0040887,14,58.27,"Strong skills in faiss, python. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0005260,15,57.81,"5.2 years of relevant experience. Strong skills in python, rag, embeddings. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected."
CAND_0007009,16,57.76,"7.9 years of relevant experience. Strong skills in weaviate, python, embeddings. Strong interview completion record. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0051936,17,57.51,"Strong skills in embeddings, python. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0076163,18,56.99,"6.9 years of relevant experience. Strong skills in weaviate, python. High GitHub activity. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0080766,19,56.76,8.8 years of relevant experience. Strong skills in python. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected.
CAND_0012957,20,56.68,"Strong skills in rag, qdrant, python. Strong interview completion record. Verified email. Verified phone. LinkedIn connected."
CAND_0069905,21,56.65,"6.6 years of relevant experience. Strong skills in python, weaviate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0088025,22,56.62,"8.6 years of relevant experience. Strong skills in pinecone, rag, python. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0051004,23,56.41,"Strong skills in embeddings, qdrant. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0005538,24,56.27,5.9 years of relevant experience. Strong skills in python. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0070514,25,56.27,"5.5 years of relevant experience. Strong skills in pinecone, python, faiss. Excellent recruiter response rate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0008425,26,56.08,"7.8 years of relevant experience. Strong skills in qdrant, python. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0011687,27,56.02,"7.8 years of relevant experience. Strong skills in faiss, embeddings, weaviate. High GitHub activity. Excellent recruiter response rate. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0049831,28,55.99,5.4 years of relevant experience. Strong skills in embeddings. High GitHub activity. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0093912,29,55.81,5.3 years of relevant experience. Strong skills in embeddings. High GitHub activity. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0098454,30,55.75,"6.6 years of relevant experience. Strong skills in pinecone, weaviate, embeddings. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0081686,31,55.62,"6.0 years of relevant experience. Strong skills in embeddings, faiss, python. Excellent recruiter response rate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected."
CAND_0073883,32,55.54,"5.3 years of relevant experience. Strong skills in python, faiss. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0002025,33,55.45,"5.9 years of relevant experience. Strong skills in faiss, weaviate, pinecone. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0014715,34,55.44,"Strong skills in python, embeddings. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0064888,35,55.34,5.8 years of relevant experience. Strong skills in embeddings. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0064904,36,55.33,"Strong skills in embeddings, python, weaviate. Strong interview completion record. Verified email. Verified phone. Open to work."
CAND_0022870,37,55.21,"6.7 years of relevant experience. Strong skills in qdrant, python, embeddings. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0066999,38,55.19,"5.9 years of relevant experience. Strong skills in faiss, pinecone, embeddings. High GitHub activity. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0077285,39,55.13,"5.5 years of relevant experience. Strong skills in pinecone, embeddings, faiss. High GitHub activity. Verified email. LinkedIn connected. Open to work."
CAND_0099806,40,55.08,"Strong skills in rag, faiss, embeddings. High GitHub activity. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0058688,41,55.07,6.7 years of relevant experience. Strong skills in embeddings. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0061257,42,54.99,8.0 years of relevant experience. Strong skills in python. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0077337,43,54.91,"7.0 years of relevant experience. Strong skills in pinecone, rag, qdrant. Excellent recruiter response rate. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0037944,44,54.91,"Strong skills in embeddings, python. High GitHub activity. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0096142,45,54.88,"5.0 years of relevant experience. Strong skills in weaviate, pinecone, python. High GitHub activity. Excellent recruiter response rate. Verified email. Verified phone. Open to work."
CAND_0064256,46,54.83,"6.4 years of relevant experience. Strong skills in python, embeddings. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0053591,47,54.68,"5.3 years of relevant experience. Strong skills in embeddings, qdrant, rag. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Verified email. Verified phone. Open to work."
CAND_0037566,48,54.68,6.9 years of relevant experience. Strong skills in pinecone. High GitHub activity. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0086151,49,54.65,"7.7 years of relevant experience. Strong skills in qdrant, embeddings. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0016163,50,54.6,"6.7 years of relevant experience. Strong skills in weaviate, embeddings, pinecone. High GitHub activity. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0045887,51,54.46,Strong skills in embeddings. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0006567,52,54.32,7.9 years of relevant experience. Strong skills in python. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0059017,53,54.3,"6.8 years of relevant experience. Strong skills in faiss, python. High GitHub activity. Highly complete profile. Verified email. LinkedIn connected. Open to work."
CAND_0039754,54,54.27,"16.2 years of relevant experience. Strong skills in qdrant, weaviate, python. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0036184,55,54.1,"6.0 years of relevant experience. Strong skills in faiss, embeddings, pinecone. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0005509,56,54.07,"6.0 years of relevant experience. Strong skills in python, qdrant. High GitHub activity. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0003791,57,54.06,"6.6 years of relevant experience. Strong skills in python, weaviate. Strong interview completion record. Highly complete profile. Verified email. LinkedIn connected. Open to work."
CAND_0032179,58,54.03,"6.4 years of relevant experience. Strong skills in weaviate, python, embeddings. Strong interview completion record. Verified email. Verified phone. LinkedIn connected."
CAND_0036121,59,53.83,5.2 years of relevant experience. Strong skills in embeddings. High GitHub activity. Highly complete profile. Verified email. Verified phone. Open to work.
CAND_0076482,60,53.82,"6.6 years of relevant experience. Strong skills in pinecone, embeddings, rag. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. LinkedIn connected. Open to work."
CAND_0001930,61,53.82,6.9 years of relevant experience. Strong skills in embeddings. High GitHub activity. Strong interview completion record. Verified email. Verified phone. Open to work.
CAND_0011489,62,53.8,"5.8 years of relevant experience. Strong skills in embeddings, rag, python. High GitHub activity. Strong interview completion record. Verified phone. LinkedIn connected. Open to work."
CAND_0010257,63,53.79,"6.5 years of relevant experience. Strong skills in python, qdrant. Strong interview completion record. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0010541,64,53.73,"6.2 years of relevant experience. Strong skills in pinecone, weaviate, python. Strong interview completion record. Verified phone. LinkedIn connected. Open to work."
CAND_0046064,65,53.71,"8.9 years of relevant experience. Strong skills in python, pinecone. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0049978,66,53.71,"6.6 years of relevant experience. Strong skills in weaviate, embeddings. Highly complete profile. Verified phone. LinkedIn connected. Open to work."
CAND_0020708,67,53.7,Strong skills in python. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Open to work.
CAND_0041610,68,53.68,6.7 years of relevant experience. Strong skills in embeddings. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0089012,69,53.64,Strong skills in python. Excellent recruiter response rate. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0030784,70,53.53,"Strong skills in embeddings, rag, pinecone. Excellent recruiter response rate. Highly complete profile. Verified email. LinkedIn connected. Open to work."
CAND_0037980,71,53.35,9.0 years of relevant experience. Strong interview completion record. Verified email. LinkedIn connected. Open to work.
CAND_0006418,72,53.25,"5.7 years of relevant experience. Strong skills in embeddings, weaviate, qdrant. Excellent recruiter response rate. Strong interview completion record. Verified email. Verified phone. Open to work."
CAND_0089495,73,53.25,"Strong skills in python, embeddings, faiss. Verified email. LinkedIn connected. Open to work."
CAND_0021491,74,53.23,6.1 years of relevant experience. Strong skills in python. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0077498,75,53.22,5.4 years of relevant experience. Strong skills in embeddings. Excellent recruiter response rate. Highly complete profile. Verified phone. Open to work.
CAND_0083307,76,53.2,"7.8 years of relevant experience. Strong skills in embeddings, pinecone, weaviate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0074731,77,53.2,"6.6 years of relevant experience. Strong skills in weaviate, python. High GitHub activity. Strong interview completion record. Verified email. Verified phone. Open to work."
CAND_0030348,78,53.15,"Strong skills in embeddings, python. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0067866,79,53.05,"6.4 years of relevant experience. Strong skills in embeddings, qdrant. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0052195,80,52.86,6.3 years of relevant experience. High GitHub activity. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0051003,81,52.85,Strong skills in embeddings. LinkedIn connected. Open to work.
CAND_0020991,82,52.84,"Strong skills in python, weaviate. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0073007,83,52.77,"5.8 years of relevant experience. Strong skills in embeddings, faiss. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0088815,84,52.73,"5.7 years of relevant experience. Strong skills in embeddings, python. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0091745,85,52.68,5.9 years of relevant experience. Strong skills in embeddings. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected.
CAND_0098952,86,52.64,5.5 years of relevant experience. Strong skills in python. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0034316,87,52.64,"6.2 years of relevant experience. Strong skills in embeddings, python. Strong interview completion record. Verified email. Verified phone. Open to work."
CAND_0008295,88,52.49,"6.5 years of relevant experience. Strong skills in python, weaviate. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. LinkedIn connected. Open to work."
CAND_0032807,89,52.41,Strong skills in python. Verified email. Open to work.
CAND_0055992,90,52.32,"16.9 years of relevant experience. Strong skills in faiss, rag, embeddings. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0073620,91,52.28,"Strong skills in python, embeddings, faiss. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0015578,92,52.16,"5.4 years of relevant experience. Strong skills in embeddings, pinecone, faiss. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0079550,93,52.12,Strong skills in python. High GitHub activity. Excellent recruiter response rate. Highly complete profile. Verified phone. Open to work.
CAND_0073224,94,52.03,"Strong skills in python, embeddings. Verified email. Verified phone. LinkedIn connected."
CAND_0093401,95,51.97,6.0 years of relevant experience. Strong skills in embeddings. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. Open to work.
CAND_0018549,96,51.93,"6.8 years of relevant experience. Strong skills in weaviate, qdrant. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0039838,97,51.92,"Strong skills in embeddings, rag. Excellent recruiter response rate. Strong interview completion record. LinkedIn connected. Open to work."
CAND_0002526,98,51.82,5.4 years of relevant experience. Strong skills in embeddings. Verified email. Verified phone. Open to work.
CAND_0072232,99,51.82,Strong skills in embeddings. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0032270,100,51.77,"Strong skills in python, qdrant, embeddings. High GitHub activity. Verified email. Verified phone. LinkedIn connected."
